link,page_found,scrape_timestamp,detail_scraped,latitude,longitude,address,has_elevator,has_parking,has_garden,has_basement,pets_allowed,floor,available_date,photo_count,description_length,ubahn_lines,ubahn_count,public_transport_mentioned,transit_walk_min,deposit,energy_rating_hwb,year_built,betriebskosten,heating_costs
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1020-leopoldstadt/erleben-sie-wien-von-seiner-besten-seite-1138007762/,1,2026-01-12T23:17:16.497572,True,48.21444,16.37795,"1020 wien, 02. bezirk, leopoldstadt",0,1,1,0,0,0.0,immediate,14,0,"u4,u1",2,0,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/wohnung-in-wunderschoener-anlage-inkl-tiefgaragenplatz-1273295901/,1,2026-01-12T23:17:21.009002,True,48.14768,16.35431,"1230 wien, 23. bezirk, liesing",0,1,0,1,0,,,14,0,,0,0,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/panoramawohnung-bei-schoenbrunn-120m-maisonette-mit-20m-nicht-einsehbarer-terrasse-und-blick-bis-stephansdom-karlskirche-971186527/,1,2026-01-12T23:17:25.871770,True,,,"1120 wien, 12. bezirk, meidling",1,1,0,1,0,3.0,immediate,21,0,"u4,u6",2,0,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/top-bezug-moderne-2-zimmer-wohnung-mit-grosszuegigem-balkon-817294554/,1,2026-01-12T23:17:31.139833,True,48.22201,16.31438,"1160 wien, 16. bezirk, ottakring",1,1,0,1,0,3.0,immediate,14,0,,0,1,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/zeitlose-architektur-trifft-parkaehnliche-ruhe-exklusive-gartenwohnung-in-den-ehemaligen-parkanlagen-der-meinl-villa-1170-wien-dornbach-878123485/,1,2026-01-12T23:17:36.259184,True,48.22732,16.29305,"1170 wien, dornbach, 207 m², € 3.950,-, (1170 wien) - willhaben",1,1,1,1,0,0.0,,21,0,,0,0,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/wg-taugliche-4-zimmer-dachgeschosswohnung-mit-2-grossen-terrassen-nahe-floridsdorfer-spitz-929311576/,1,2026-01-12T23:17:40.901671,True,,,"1210 wien, 21. bezirk, floridsdorf",1,1,0,1,0,5.0,immediate,14,0,u6,1,1,3.0,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/helle-dachgeschosswohnung-nahe-neue-donau-ruhig-modern-1343104770/,1,2026-01-12T23:17:46.761856,True,48.26103,16.38684,"1210 wien, 21. bezirk, floridsdorf",1,0,1,1,0,3.0,,14,0,,0,1,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/3-zimmer-wohnung-mit-loggia-und-garage-1336576562/,2,2026-01-12T23:17:54.582987,True,48.17649,16.3627,"1100 wien, 10. bezirk, favoriten",1,1,0,1,0,,,15,0,,0,0,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/oberdoebling-2-zimmer-kueche-ar-wohnung-1-bedroom-apartment-with-separate-kitchen-784076869/,2,2026-01-12T23:17:58.778432,True,48.23996,16.353024,"1190 wien, 19. bezirk, döbling",1,0,1,0,0,,,17,0,"u4,u6,u3",3,1,,2.6,101.9,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/moeblierte-2-zimmerwohnung-fully-furnished-naehe-schlossquadrat-1131930355/,2,2026-01-12T23:18:03.820348,True,48.19076,16.35751,"1050 wien, 05. bezirk, margareten",1,0,0,0,0,6.0,,17,0,u4,1,1,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/kfz-garage-1705792354/,2,2026-01-12T23:18:08.155015,True,48.223183,16.357239,"1090 wien, 09. bezirk, alsergrund",0,1,1,0,0,,2026-01-12,8,0,u3,1,1,,75.0,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/mietangebot-angenommen-das-laurenz-erstbezug-top-loggia-wohnung-u3-2-zimmer-loggia-1-bedroom-apartment-loggia-u3-1360475698/,2,2026-01-12T23:18:13.381855,True,48.170174,16.42014,"1110 wien, 11. bezirk, simmering",1,1,1,1,0,2.0,,16,0,u3,1,1,5.0,5000.0,24.74,2025.0,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/wohnen-mitten-in-der-stadt-mostgasse-2-2-34-1003089090/,2,2026-01-12T23:18:17.535941,True,48.191025,16.36697,"1040 wien, 04. bezirk, wieden",1,0,1,0,0,,immediate,14,0,,0,1,,6.0,104.1,1963.0,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/exklusive-dachgeschosswohnung-mit-terrasse-und-gruenblick-1190-wien-rodlergasse-1742317119/,2,2026-01-12T23:18:21.903216,True,48.2413,16.33404,"1190 wien, rodlergasse, 183 m², € 3.300,-, (1190 wien) - willhaben",0,0,0,0,0,,immediate,15,0,,0,0,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1020-leopoldstadt/co-living-deluxe-zimmer-in-lichtdurchfluteter-luxus-wg-in-zentraler-lage-1408525100/,3,2026-01-12T23:18:28.179419,True,48.22393,16.39787,"1020 wien, 02. bezirk, leopoldstadt",1,1,1,1,0,0.0,immediate,18,0,"u1,u2",2,0,5.0,3000.0,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/sonnige-2-zimmer-wohnung-im-21-bezirk-zu-vermieten-optional-mit-garage-im-innenhof-1492853476/,3,2026-01-12T23:18:33.614788,True,48.26443,16.401,"1210 wien, 21. bezirk, floridsdorf",1,1,0,1,0,4.0,immediate,19,0,,0,1,5.0,,,,44.0,1098.0
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/room4rent-serviced-apartments-hoch33-suite-1642751001/,3,2026-01-12T23:18:38.610696,True,48.16613,16.38908,"1100 wien, 10. bezirk, favoriten",1,1,1,0,0,,immediate,17,0,"u3,u2,u6,u4,u1",5,1,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/direktvergabe-einer-gemeindewohnung-vms-31-10-2025-1600-eur-abloese-1278486319/,3,2026-01-12T23:18:43.538007,True,48.18017,16.41254,"1110 wien, 11. bezirk, simmering",0,0,0,0,0,,immediate,22,0,,0,0,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/room4rent-ihr-zuhause-auf-zeit-music-box-suite-861235779/,3,2026-01-12T23:18:48.621232,True,48.18002,16.38563,"1100 wien, 10. bezirk, favoriten",1,0,1,0,0,0.0,,17,0,u1,1,1,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/room4rent-serviced-apartments-vienna-academic-guesthouse-large-1340457157/,3,2026-01-12T23:18:54.519296,True,48.22547,16.50449,"1220 wien, 22. bezirk, donaustadt",1,0,1,0,0,,immediate,22,0,"u3,u2,u6,u4,u1",5,1,,,,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/room4rent-serviced-apartments-hoch33-standard-1690457812/,3,2026-01-12T23:18:58.916994,True,48.16613,16.38908,"1100 wien, 10. bezirk, favoriten",1,1,1,0,0,,,13,0,u1,1,0,,,,,,
